GEO_ID,NAME,S1901_C01_001E,S1901_C01_001M,S1901_C01_002E,S1901_C01_002M,S1901_C01_003E,S1901_C01_003M,S1901_C01_004E,S1901_C01_004M,S1901_C01_005E,S1901_C01_005M,S1901_C01_006E,S1901_C01_006M,S1901_C01_007E,S1901_C01_007M,S1901_C01_008E,S1901_C01_008M,S1901_C01_009E,S1901_C01_009M,S1901_C01_010E,S1901_C01_010M,S1901_C01_011E,S1901_C01_011M,S1901_C01_012E,S1901_C01_012M,S1901_C01_013E,S1901_C01_013M,S1901_C01_014E,S1901_C01_014M,S1901_C01_015E,S1901_C01_015M,S1901_C01_016E,S1901_C01_016M,S1901_C02_001E,S1901_C02_001M,S1901_C02_002E,S1901_C02_002M,S1901_C02_003E,S1901_C02_003M,S1901_C02_004E,S1901_C02_004M,S1901_C02_005E,S1901_C02_005M,S1901_C02_006E,S1901_C02_006M,S1901_C02_007E,S1901_C02_007M,S1901_C02_008E,S1901_C02_008M,S1901_C02_009E,S1901_C02_009M,S1901_C02_010E,S1901_C02_010M,S1901_C02_011E,S1901_C02_011M,S1901_C02_012E,S1901_C02_012M,S1901_C02_013E,S1901_C02_013M,S1901_C02_014E,S1901_C02_014M,S1901_C02_015E,S1901_C02_015M,S1901_C02_016E,S1901_C02_016M,S1901_C03_001E,S1901_C03_001M,S1901_C03_002E,S1901_C03_002M,S1901_C03_003E,S1901_C03_003M,S1901_C03_004E,S1901_C03_004M,S1901_C03_005E,S1901_C03_005M,S1901_C03_006E,S1901_C03_006M,S1901_C03_007E,S1901_C03_007M,S1901_C03_008E,S1901_C03_008M,S1901_C03_009E,S1901_C03_009M,S1901_C03_010E,S1901_C03_010M,S1901_C03_011E,S1901_C03_011M,S1901_C03_012E,S1901_C03_012M,S1901_C03_013E,S1901_C03_013M,S1901_C03_014E,S1901_C03_014M,S1901_C03_015E,S1901_C03_015M,S1901_C03_016E,S1901_C03_016M,S1901_C04_001E,S1901_C04_001M,S1901_C04_002E,S1901_C04_002M,S1901_C04_003E,S1901_C04_003M,S1901_C04_004E,S1901_C04_004M,S1901_C04_005E,S1901_C04_005M,S1901_C04_006E,S1901_C04_006M,S1901_C04_007E,S1901_C04_007M,S1901_C04_008E,S1901_C04_008M,S1901_C04_009E,S1901_C04_009M,S1901_C04_010E,S1901_C04_010M,S1901_C04_011E,S1901_C04_011M,S1901_C04_012E,S1901_C04_012M,S1901_C04_013E,S1901_C04_013M,S1901_C04_014E,S1901_C04_014M,S1901_C04_015E,S1901_C04_015M,S1901_C04_016E,S1901_C04_016M
id,Geographic Area Name,Estimate!!Households!!Total,Margin of Error!!Households!!Total,"Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more",Estimate!!Households!!Median income (dollars),Margin of Error!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Margin of Error!!Households!!Mean income (dollars),Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Families!!Total,Margin of Error!!Families!!Total,"Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more",Estimate!!Families!!Median income (dollars),Margin of Error!!Families!!Median income (dollars),Estimate!!Families!!Mean income (dollars),Margin of Error!!Families!!Mean income (dollars),Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Married-couple families!!Total,Margin of Error!!Married-couple families!!Total,"Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more",Estimate!!Married-couple families!!Median income (dollars),Margin of Error!!Married-couple families!!Median income (dollars),Estimate!!Married-couple families!!Mean income (dollars),Margin of Error!!Married-couple families!!Mean income (dollars),Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Nonfamily households!!Total,Margin of Error!!Nonfamily households!!Total,"Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more",Estimate!!Nonfamily households!!Median income (dollars),Margin of Error!!Nonfamily households!!Median income (dollars),Estimate!!Nonfamily households!!Mean income (dollars),Margin of Error!!Nonfamily households!!Mean income (dollars),Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months
1400000US25001010100,"Census Tract 101, Barnstable County, Massachusetts",1725,157,5.3,3.4,5,4,8.3,5,8.1,3.9,9.5,4.4,17.8,6.9,10.4,4.4,10.8,3.4,6.1,2.9,18.7,7.4,71495,10373,118648,22538,35,(X),(X),(X),(X),(X),665,93,0,5.8,0,5.8,4.4,5.5,6.9,4.9,16.1,6.9,10.1,5.3,17.6,9.2,15.5,6.4,7.8,5.1,21.7,8,89875,17499,142419,25848,(X),(X),37.6,(X),(X),(X),579,96,0,6.7,0,6.7,5,6.3,7.9,5.5,8.1,6.1,8.5,5.2,20.2,10.8,17.8,7.3,9,5.9,23.5,9,102607,17116,N,N,(X),(X),(X),(X),(X),(X),1060,201,8.6,5.5,8.2,6.5,10.8,7,9.8,5.9,6.7,4.9,20.3,10.1,5.8,3.8,7.8,4.2,5.1,3.5,16.8,11.1,57917,15566,103325,34163,(X),(X),(X),(X),33.4,(X)
1400000US25001010206,"Census Tract 102.06, Barnstable County, Massachusetts",1524,178,3.7,3.5,1.8,1.7,4.6,3.7,4.5,2.8,12.7,4.6,18.1,7,10.2,4,26.1,9,6.4,3.8,11.8,5.9,82990,14590,108002,19355,39.8,(X),(X),(X),(X),(X),988,133,0,4,1,1.7,4.1,5,6.4,4.4,9.9,4.7,8.1,4.5,11.7,4.9,33.9,11.1,7.7,5.6,17.1,9.1,104366,28821,131556,28311,(X),(X),34.4,(X),(X),(X),856,132,0,4.6,1.2,2,4.8,5.7,3.9,3.4,6.7,3.9,8.2,5,12.4,5.4,34.3,12.1,8.9,6.6,19.7,10.4,123750,20742,N,N,(X),(X),(X),(X),(X),(X),536,146,10.4,9.7,3.2,3.6,5.4,4.8,4.7,5.1,17.9,9.9,34.9,15,7.5,7,9.9,7.5,4.1,3.9,2.1,2.9,54091,5114,62266,10521,(X),(X),(X),(X),46.1,(X)
1400000US25001010208,"Census Tract 102.08, Barnstable County, Massachusetts",693,220,3.5,5.2,6.5,6.3,8.5,8.5,6.2,7.2,18,14.2,13.3,11.6,13.7,8.5,7.9,6.8,0,5.6,22.4,16.3,68914,31118,93932,32690,32.2,(X),(X),(X),(X),(X),235,107,0,15.6,0,15.6,0,15.6,9.8,13.5,9.8,15.6,30.6,25.4,18.7,18.1,7.2,7,0,15.6,23.8,14.6,74886,24887,105400,26652,(X),(X),43.8,(X),(X),(X),162,83,0,21.7,0,21.7,0,21.7,0,21.7,14.2,21,37.7,30.9,13.6,18.8,0,21.7,0,21.7,34.6,22,-,**,N,N,(X),(X),(X),(X),(X),(X),458,208,5.2,8.3,9.8,9.5,12.9,12.4,4.4,7.8,22.3,20,4.4,5.3,15.9,12.5,3.5,5.9,0,8.4,21.6,25.6,47717,37646,86511,50812,(X),(X),(X),(X),26.2,(X)
1400000US25001010304,"Census Tract 103.04, Barnstable County, Massachusetts",1282,171,5.5,4.5,3.3,3.1,8.8,5.7,8.7,9.4,17.2,8.8,12.2,6,10.9,4.4,17.5,7,8.8,4.1,7.1,3.3,57353,14035,87795,13458,39.2,(X),(X),(X),(X),(X),757,118,4.1,5.2,0,5.1,6.5,6.7,0,5.1,10.6,7.6,14.9,9.6,16,7.2,24.3,11.3,13.7,6,9.9,5.4,96845,15891,112659,18141,(X),(X),42.3,(X),(X),(X),674,130,4.6,5.9,0,5.8,7.3,7.4,0,5.8,7.7,6.4,13.6,9.2,16.9,7.8,27.3,12.2,14.1,6.8,8.5,5.4,99750,16434,N,N,(X),(X),(X),(X),(X),(X),525,193,7.6,8.3,8,7.7,12.2,10,21.1,20.9,26.9,18.2,12.2,8.7,3.6,3.9,3.6,4.1,1.7,2.9,3,3.6,35164,16604,49871,14788,(X),(X),(X),(X),34.9,(X)
1400000US25001010306,"Census Tract 103.06, Barnstable County, Massachusetts",1172,163,3.2,3.9,6.1,7,4,3.3,4,2.9,12.3,8.4,23.5,9.3,17,8.6,17.2,8.1,4.2,2.9,8.5,5.7,73448,10627,85557,12579,31.2,(X),(X),(X),(X),(X),736,123,0,5.3,2.2,3.3,3.3,3.3,3.4,3.4,3.1,3,27.7,12.3,20.9,11.2,22,10,3.8,3.1,13.6,8.5,81786,19582,105307,13599,(X),(X),31.8,(X),(X),(X),650,123,0,6,0,6,0.9,1.4,2.8,3.5,1.8,2.2,27.8,13.7,22,11.7,24.9,10.9,4.3,3.6,15.4,9.9,93712,17384,N,N,(X),(X),(X),(X),(X),(X),436,160,8.5,10.3,12.8,18.1,5.3,6.6,5,5.7,27.8,18.7,16.3,13.6,12.8,13.4,6.7,8.5,4.8,5.4,0,8.8,39826,17706,51836,14580,(X),(X),(X),(X),30.3,(X)
1400000US25001010400,"Census Tract 104, Barnstable County, Massachusetts",1474,170,6.2,3.9,5.4,4.3,6.4,3.6,11.5,9.2,6.9,4,21.5,6.8,10.4,5.8,20.1,7.2,2.9,2,8.5,4.8,67663,11102,87151,13195,37.9,(X),(X),(X),(X),(X),797,166,6.4,4.8,0,4.9,1.4,2.2,1.1,1.8,7,6.1,18.2,7.1,19.3,10.7,31,11.3,4.3,3.5,11.3,6.9,91375,16180,110626,16971,(X),(X),31.2,(X),(X),(X),645,154,1.6,2.3,0,6,0,6,0,6,8.7,7.5,22.5,8,12.1,9,36,13.5,5.3,4.2,14,8.4,107708,19558,N,N,(X),(X),(X),(X),(X),(X),677,189,8.1,7.2,11.8,9.3,10.2,7.3,23.8,17.1,6.6,4.9,25.4,11.4,4.1,3.9,3.2,4.9,1.3,2,5.3,5.6,34387,7304,57849,17257,(X),(X),(X),(X),45.6,(X)
1400000US25001010500,"Census Tract 105, Barnstable County, Massachusetts",1314,169,2.8,3.9,4.6,4.2,3.3,2.6,5.9,3.5,7.1,4.9,13.5,5.6,13.3,6.7,18.7,7.1,13,5.7,17.7,10,96630,25178,152881,41086,30.3,(X),(X),(X),(X),(X),918,155,1.4,2.4,0,4.3,2.4,2.4,1.5,1.7,8.3,6.3,10.5,5.4,16.8,9.8,22.3,9.3,13.8,6.4,23,12.6,120294,22927,177512,50980,(X),(X),29.7,(X),(X),(X),845,161,0,4.6,0,4.6,1.9,2.2,1.7,1.9,6.2,5.6,10.1,5.7,16,10.1,24.3,10.1,15,7,25,13.7,128661,29625,N,N,(X),(X),(X),(X),(X),(X),396,107,6.1,9.3,15.4,12.9,5.6,6.3,16.2,10.6,4.3,5.8,20.5,14.4,5.3,6.2,10.4,8.3,11.1,10.5,5.3,6.6,50510,18655,95781,51366,(X),(X),(X),(X),31.6,(X)
1400000US25001010600,"Census Tract 106, Barnstable County, Massachusetts",1489,158,5.1,3,0.7,1.2,4.6,2.7,5.4,3.3,16,7.1,19.6,7.8,13.2,5,17.2,6.2,9.8,6.1,8.5,3.9,73686,17973,111659,27842,36.8,(X),(X),(X),(X),(X),895,118,0,4.4,0,4.4,1.8,3,2.1,2.7,9.7,5.8,26.4,11.3,16.5,7.5,23.4,9.1,8.9,5.5,11.2,5.8,91419,12209,140485,42918,(X),(X),36.9,(X),(X),(X),701,110,0,5.5,0,5.5,0,5.5,2.7,3.4,5,3.7,23,12.3,19.3,9.4,24.4,10.1,11.4,7,14.3,7.7,100156,18887,N,N,(X),(X),(X),(X),(X),(X),594,157,12.8,7.6,1.9,3,8.8,5.6,10.3,6.6,27.1,14.6,12.6,8.1,5.1,4.8,6.1,5.2,11.1,10.9,4.4,4.3,45212,13019,65922,18320,(X),(X),(X),(X),36.7,(X)
1400000US25001010700,"Census Tract 107, Barnstable County, Massachusetts",1518,154,5.3,3.6,3.2,2.2,7.9,5.4,5.7,3,8.3,3.5,15.5,6.6,9.9,4.8,24.2,6.4,3.7,3,16.3,5.4,86833,19210,120799,19489,33.2,(X),(X),(X),(X),(X),935,119,2.7,3.1,0,4.2,4.8,5.3,1.8,2.1,6.4,4.6,11.1,6.1,8.8,5.3,35.5,9.3,6,4.8,22.9,8.1,118472,10281,159391,28945,(X),(X),39.7,(X),(X),(X),869,127,2.9,3.4,0,4.5,1.8,2.8,2,2.3,6.9,5,12,6.5,9.4,5.8,38.2,9.6,5.3,4.9,21.5,9,117479,10492,N,N,(X),(X),(X),(X),(X),(X),583,159,9.4,7.8,8.4,5.9,12.9,10.5,11.8,6.7,11.3,6.9,22.5,12.8,11.8,9.5,6.2,5.3,0,6.6,5.7,3.8,41250,20290,57820,11938,(X),(X),(X),(X),22.8,(X)
