address,kmeans_labels
"1 Abbotsford St, 02121",20
"1 Acorn St, 02108",170
"1 Adams St, 02129",20
"1 Akron Pl, 02119",20
"1 Aldie St, 02134",20
"1 Allen Rd, 02135",104
"1 Allston St, 02124",159
"1 Alna Pl, 02128",190
"1 Alpine Pl, 02119",155
"1 Amboy St, 02134",137
"1 Annapolis St, 02125",107
"1 Appian Pl, 02128",20
"1 Arcadia St, 02119",104
"1 Arcadia St, 02122",87
"1 Arion St, 02125",185
"1 Ashland St, 02122",185
"1 Aspinwall Rd, 02124",170
"1 Atherstone St, 02124",77
"1 Atlantic St, 02127",158
"1 Auburn Pl, 02129",3
"1 Auburn St, 02129",20
"1 Autumn St, 02132",137
"1 Avon Pl, 02129",155
"1 Bay St, 02116",0
"1 Bellingham Pl, 02114",20
"1 Bennet Pl, 02128",137
"1 Blaban Pl, 02129",20
"1 Bond St, 02118",20
"1 Bowditch Rd, 02130",137
"1 Boylston Pl, 02130",20
"1 Boylston St, 02130",185
"1 Bradlee Ct, 02136",20
"1 Braeburn Rd, 02136",20
"1 Brewster St, 02127",124
"1 Brigham St, 02128",170
"1 Buchanan Rd, 02132",3
"1 Butler St, 02124",185
"1 Caddy Rd, 02126",20
"1 Candor Pl, 02130",185
"1 Carlisle St, 02121",185
"1 Carlos St, 02124",185
"1 Carmen St, 02121",195
"1 Carson St, 02125",0
"1 Cazenove St, 02116",3
"1 Cedar Sq, 02119",112
"1 Centre Pl, 02119",186
"1 Cerina Rd, 02130",20
"1 Chesbrough Rd, 02132",0
"1 Claremont St, 02118",20
"1 Clermont St, 02124",20
"1 Cobden St, 02119",20
"1 Colebrook St, 02127",124
"1 Common St, 02129",20
"1 Constance Rd, 02132",4
"1 Copeland Pl, 02119",20
"1 Copley St, 02119",185
"1 Cortes St, 02116",134
"1 Cottage St, 02127",155
"1 Courtney Rd, 02132",3
"1 Curley St, 02131",185
"1 Dane St, 02130",132
"1 Dartmouth Pl, 02116",124
"1 Davis Ct, 02128",136
"1 Dennis St, 02119",20
"1 Dever St, 02121",185
"1 Dimock St, 02119",185
"1 Drake Pl, 02128",0
"1 Duke St, 02126",20
"1 Durham St, 02115",124
"1 Eagle St, 02132",119
"1 Ernst St, 02119",24
"1 Everett St, 02122",3
"1 Exeter St, 02116",124
"1 Fairfax St, 02124",185
"1 Fairfield St, 02116",20
"1 Fairland St, 02119",29
"1 Forest Pl, 02129",20
"1 Foster St, 02109",4
"1 Franclaire Dr, 02132",0
"1 Fruean Pl, 02122",186
"1 Furbush Rd, 02132",134
"1 Gannett St, 02121",130
"1 Gerrish St, 02135",185
"1 Gloucester St, 02116",75
"1 Glover Ct, 02127",134
"1 Greenbrook Rd, 02136",124
"1 Greenmount St, 02125",197
"1 Greenwich Ct, 02120",20
"1 Grimes St, 02127",20
"1 Haley St, 02119",20
"1 Hardy St, 02127",20
"1 Hartford Ct, 02125",117
"1 Hartford St, 02125",155
"1 Haslet St, 02131",128
"1 Haven St, 02118",49
"1 Henley St, 02129",97
"1 Herbert St, 02124",20
"1 Higgins St, 02134",134
"1 Hilary St, 02129",49
"1 Howland St, 02121",59
"1 Itasca St, 02126",122
"1 Jarvis Pl, 02119",20
"1 Johnny Ct, 02111",119
"1 Johnswood Rd, 02131",104
"1 Keane Rd, 02132",3
"1 Keenan Rd, 02135",128
"1 Kerwin St, 02124",20
"1 Kingbird Rd, 02124",160
"1 Larchmont St, 02124",20
"1 Larose Pl, 02135",20
"1 Laurel St, 02129",0
"1 Lauriat St, 02124",0
"1 Lauten Pl, 02127",97
"1 Lawnwood Pl, 02129",137
"1 Lawrence St, 02116",150
"1 Leonard Ct, 02122",136
"1 Lewiston St, 02136",20
"1 Leyland St, 02125",40
"1 Lime St, 02108",20
"1 Linden St, 02127",137
"1 Linden St, 02134",124
"1 Locke Pl, 02127",185
"1 Longmeadow St, 02119",155
"1 Lovis St, 02127",49
"1 Ludlow St, 02129",20
"1 Lyndeboro Pl, 02116",124
"1 Maple St, 02121",152
"1 Margo Rd, 02135",155
"1 Marion Pl, 02128",185
"1 Mark St, 02130",20
"1 Maryland St, 02125",20
"1 Mather St, 02124",155
"1 May St, 02130",20
"1 Maybury St, 02121",119
"1 Mechanic St, 02113",20
"1 Menlo St, 02135",49
"1 Meredith St, 02132",137
"1 Michael Rd, 02135",185
"1 Monmouth Sq, 02128",185
"1 Monmouth St, 02128",62
"1 Moore St, 02128",128
"1 Morton Pl, 02128",75
"1 Mossdale Rd, 02130",20
"1 Moultrie St, 02124",20
"1 Moville St, 02132",185
"1 Murray Ct, 02128",112
"1 Mystic St, 02129",20
"1 Normandy St, 02121",20
"1 Norton St, 02136",20
"1 Oakhurst St, 02124",107
"1 Olive St, 02135",20
"1 Oswald St, 02120",126
"1 Otis Pl, 02108",170
"1 Otisfield St, 02121",20
"1 Page St, 02121",185
"1 Parkman Pl, 02122",20
"1 Parrott St, 02136",136
"1 Perthshire Rd, 02135",20
"1 Pinefield Rd, 02136",49
"1 Plover St, 02132",158
"1 Powers Ct, 02109",84
"1 Prescott St, 02129",20
"1 Princeton Pl, 02128",136
"1 Putnam Pl, 02119",3
"1 Raldne Rd, 02136",185
"1 Range Rd, 02124",20
"1 Regan Rd, 02124",135
"1 Remington St, 02124",20
"1 Rena St, 02134",20
"1 Ringgold St, 02118",106
"1 Robeson St, 02130",20
"1 Robken Rd, 02131",20
"1 Rosa St, 02136",18
"1 Rowen Ct, 02130",150
"1 Russell St, 02129",49
"1 Saratoga Pl, 02128",20
"1 Schiller Rd, 02132",20
"1 Schuyler St, 02121",140
"1 Seymour St, 02131",20
"1 Shafter St, 02121",128
"1 Shenandoah St, 02124",188
"1 Springer St, 02127",20
"1 Stockton St, 02124",155
"1 Stonecrest Rd, 02126",196
"1 Strong Pl, 02114",3
"1 Sussex St, 02120",20
"1 Terrace Pl, 02120",134
"1 Thornton Pl, 02119",101
"1 Torpie St, 02120",20
"1 Trenton St, 02129",3
"1 Viking St, 02127",49
"1 Wabon St, 02121",155
"1 Waldorf St, 02124",49
"1 Wall St, 02129",170
"1 Warwick St, 02120",134
"1 Waterlow St, 02121",126
"1 Webster Pl, 02113",20
"1 Wedgewood Rd, 02132",137
"1 Westford Pl, 02134",150
"1 Weyanoke St, 02124",137
"1 Wharton Ct, 02136",185
"1 Wigglesworth St, 02120",20
"1 Wilkins Pl, 02131",151
"1 Wise St, 02130",20
"1 Woodville St, 02119",20
"1 Worthington St, 02120",124
"1 Wyman Pl, 02130",155
"1 Wyvern St, 02131",87
"10 Adams St, 02129",4
"10 Agawam St, 02122",185
"10 Albion St, 02119",20
"10 Albright St, 02132",155
"10 Alcott St, 02134",185
"10 Aldrich St, 02131",155
"10 Alleghany St, 02120",134
"10 Allen St, 02131",20
"10 Allen St, 02136",104
"10 Alleyne St, 02132",137
"10 Allston St, 02134",124
"10 Alpha Rd, 02124",185
"10 Amesbury St, 02132",137
"10 Annavoy St, 02128",185
"10 Antrim St, 02128",133
"10 Arbutus St, 02124",20
"10 Ashmont St, 02124",20
"10 Aspen St, 02119",49
"10 Atherton St, 02119",20
"10 Athol St, 02134",159
"10 Atkins St, 02135",185
"10 Auburn St, 02129",20
"10 Auckland St, 02125",20
"10 Avondale St, 02124",128
"10 Baird St, 02124",155
"10 Barrington Rd, 02124",185
"10 Bateman St, 02131",104
